the_transaction_id,store,customer_id,date_order,quantity_item_on_bill,total_bill_amount
135,1,57,29/01/2022,1,9.6
136,1,4526,29/01/2022,1,55.2
137,1,2649,29/01/2022,8,144
138,1,6488,30/01/2022,8,297.6
139,1,6510,30/01/2022,2,46.4
140,1,2064,30/01/2022,3,42.4
141,1,271,30/01/2022,8,169.6
142,1,282,30/01/2022,10,169.6
143,1,3958,30/01/2022,1,15.2
144,1,6648,30/01/2022,2,123.2
145,1,1857,30/01/2022,2,62.4
146,1,6662,30/01/2022,7,144.8
147,1,6691,30/01/2022,6,132.8
148,1,427,30/01/2022,7,375.2
149,1,6744,30/01/2022,1,23.2
150,1,378,31/01/2022,3,66.4
151,1,4985,31/01/2022,11,198.4
152,1,663,01/02/2022,2,27.2
153,1,2906,01/02/2022,6,267.2
154,1,545,01/02/2022,0,-8
155,1,1292,02/02/2022,6,155.2
156,1,7366,02/02/2022,6,132.8
157,1,7389,02/02/2022,5,133.6
158,1,2719,02/02/2022,3,138.4
159,1,3561,02/02/2022,6,104
160,1,4005,02/02/2022,2,62.4
161,1,612,02/02/2022,2,75.2
162,1,4690,02/02/2022,3,133.6
163,1,1114,02/02/2022,7,143.2
164,1,5005,03/02/2022,11,180.8
165,1,7674,03/02/2022,34,372
166,1,7745,04/02/2022,2,27.2
167,1,596,04/02/2022,9,293.6
168,1,7101,04/02/2022,3,172
169,1,7859,04/02/2022,5,174.4
170,1,3820,04/02/2022,4,158.4
171,1,3811,04/02/2022,3,36
172,1,5572,25/01/2022,5,80.8
173,1,4425,25/01/2022,3,79.2
174,1,2921,25/01/2022,1,12
175,1,3958,25/01/2022,2,46.4
176,1,3958,26/01/2022,1,7.2
177,1,5702,26/01/2022,4,75.2
178,1,3405,26/01/2022,1,9.6
179,1,5729,26/01/2022,1,31.2
180,1,2195,26/01/2022,7,92
181,1,104,26/01/2022,3,191.2
182,1,3656,27/01/2022,1,9.6
183,1,404,27/01/2022,1,39.2
184,1,249,27/01/2022,3,55.2
185,1,5857,27/01/2022,1,9.6
186,1,457,27/01/2022,1,12
187,1,92,27/01/2022,8,216
188,1,1573,27/01/2022,2,134.4
189,1,5951,27/01/2022,6,248
190,1,5283,28/01/2022,2,107.2
191,1,3730,28/01/2022,1,31.2
192,1,6003,28/01/2022,4,76.8
193,1,3656,28/01/2022,1,23.2
194,1,5471,28/01/2022,1,23.2
195,1,5497,28/01/2022,0,0
196,1,1076,28/01/2022,1,63.2
197,1,103,28/01/2022,3,117.6
198,1,1500,29/01/2022,4,364.8
199,1,1018,29/01/2022,6,131.2
200,1,3457,29/01/2022,3,125.6
201,1,6329,29/01/2022,2,15.2
202,1,6434,29/01/2022,4,89.6
203,1,2010,29/01/2022,3,66.4
204,1,1899,30/01/2022,2,46.4
205,1,186,30/01/2022,3,79.2
206,1,6600,30/01/2022,1,39.2
207,1,1728,30/01/2022,5,55.2
208,1,4926,30/01/2022,2,198.4
209,1,3665,30/01/2022,10,270.4
210,1,6763,30/01/2022,4,75.2
211,1,179,31/01/2022,2,21.6
212,1,1495,31/01/2022,11,214.4
213,1,5341,31/01/2022,1,15.2
214,1,3037,31/01/2022,4,81.6
215,1,4307,31/01/2022,2,182.4
216,1,827,31/01/2022,6,150.4
217,1,3656,31/01/2022,1,44
218,1,2205,31/01/2022,22,472.8
219,1,6447,31/01/2022,3,40
220,1,6316,31/01/2022,4,123.2
221,1,3958,01/02/2022,1,15.2
222,1,7041,01/02/2022,1,47.2
223,1,7126,01/02/2022,2,38.4
224,1,2886,01/02/2022,2,78.4
225,1,3656,01/02/2022,1,31.2
226,1,1061,01/02/2022,2,8
227,1,1942,02/02/2022,4,185.6
228,1,7311,02/02/2022,4,65.6
229,1,2402,02/02/2022,1,20
230,1,2804,02/02/2022,12,272
231,1,1896,02/02/2022,3,40
232,1,2089,02/02/2022,2,115.2
233,1,4426,02/02/2022,2,46.4
234,1,4737,03/02/2022,0,0
235,1,7557,03/02/2022,1,20
236,1,7743,04/02/2022,2,40
237,1,7778,04/02/2022,4,209.6
238,1,7785,04/02/2022,5,180
239,1,838,04/02/2022,5,232.8
240,1,3217,04/02/2022,2,0
241,1,7828,04/02/2022,2,38.4
242,1,4631,04/02/2022,4,113.6
243,1,4426,04/02/2022,1,39.2
244,1,3656,04/02/2022,2,23.2
245,1,1714,04/02/2022,10,185.6
246,1,1240,25/01/2022,1,39.2
247,1,4611,25/01/2022,9,119.2
248,1,349,25/01/2022,1,23.2
249,1,2556,25/01/2022,1,31.2
250,1,1220,26/01/2022,2,24
251,1,5681,26/01/2022,1,31.2
252,1,3178,26/01/2022,2,59.2
253,1,5770,26/01/2022,1,28
254,1,4426,26/01/2022,2,30.4
255,1,3656,27/01/2022,2,70.4
256,1,398,27/01/2022,4,44
257,1,1110,27/01/2022,4,83.2
258,1,5843,27/01/2022,7,238.4
259,1,3482,27/01/2022,1,52
260,1,616,27/01/2022,1,95.2
261,1,5714,27/01/2022,0,0
262,1,5222,27/01/2022,2,59.2
263,1,549,27/01/2022,1,7.2
264,1,428,27/01/2022,6,132.8
265,1,893,28/01/2022,2,67.2
266,1,3774,28/01/2022,6,76.8
267,1,6117,29/01/2022,2,54.4
268,1,4186,29/01/2022,5,684
269,1,6125,29/01/2022,3,79.2
270,1,3715,29/01/2022,3,90.4
271,1,3958,29/01/2022,1,28
272,1,4825,29/01/2022,4,102.4
273,1,5048,29/01/2022,4,100.8
274,1,2627,29/01/2022,2,62.4
275,1,3080,29/01/2022,1,28
276,1,3958,29/01/2022,1,4
277,1,274,29/01/2022,2,67.2
278,1,6388,30/01/2022,2,46.4
279,1,3552,30/01/2022,-2,-62.4
280,1,3694,30/01/2022,3,111.2
281,1,5313,30/01/2022,1,15.2
282,1,6695,30/01/2022,3,194.4
283,1,703,30/01/2022,4,62.4
284,1,4886,30/01/2022,4,89.6
285,1,1711,30/01/2022,1,199.2
286,1,872,31/01/2022,1,12
287,1,2139,31/01/2022,5,111.2
288,1,185,31/01/2022,6,84.8
289,1,2121,31/01/2022,1,47.2
290,1,2544,31/01/2022,2,35.2
291,1,966,31/01/2022,9,180
292,1,6974,31/01/2022,2,30.4
293,1,2294,01/02/2022,2,203.2
294,1,300,01/02/2022,18,403.2
295,1,3656,01/02/2022,1,4
296,1,7197,01/02/2022,3,40
297,1,7336,02/02/2022,2,70.4
298,1,1666,02/02/2022,8,85.6
299,1,3656,02/02/2022,2,27.2
300,1,3749,03/02/2022,2,56
301,1,1396,03/02/2022,2,38.4
302,1,7644,03/02/2022,2,40
303,1,7609,03/02/2022,2,91.2
304,1,1316,03/02/2022,0,48
305,1,6461,04/02/2022,2,43.2
306,1,3930,04/02/2022,15,530.4
307,1,2365,04/02/2022,10,225.6
308,1,705,04/02/2022,3,130.4
309,1,3266,25/01/2022,6,120
310,1,298,25/01/2022,1,31.2
311,1,4365,25/01/2022,1,31.2
312,1,4989,26/01/2022,5,76
313,1,3539,26/01/2022,3,189.6
314,1,658,26/01/2022,1,31.2
315,1,5425,27/01/2022,20,1261.6
316,1,5860,27/01/2022,3,109.6
317,1,4681,27/01/2022,2,179.2
318,1,5953,27/01/2022,1,87.2
319,1,5956,27/01/2022,19,343.2
320,1,5976,28/01/2022,1,79.2
321,1,547,28/01/2022,7,190.4
322,1,4221,28/01/2022,2,51.2
323,1,1542,28/01/2022,5,105.6
324,1,3958,29/01/2022,4,38.4
325,1,1200,29/01/2022,3,42.4
326,1,94,29/01/2022,2,27.2
327,1,5319,29/01/2022,2,24.8
328,1,1831,29/01/2022,1,63.2
329,1,515,29/01/2022,1,63.2
330,1,3958,29/01/2022,4,139.2
331,1,6456,30/01/2022,2,150.4
332,1,3602,30/01/2022,9,596
333,1,1626,30/01/2022,1,12
334,1,3958,30/01/2022,2,38.4
335,1,6591,30/01/2022,1,63.2
336,1,545,30/01/2022,1,87.2
337,1,6656,30/01/2022,2,22.4
338,1,1375,31/01/2022,4,95.2
339,1,6860,31/01/2022,1,7.2
340,1,767,31/01/2022,2,62.4
341,1,835,31/01/2022,1,15.2
342,1,6895,31/01/2022,1,15.2
343,1,776,31/01/2022,5,93.6
344,1,6954,31/01/2022,7,132
345,1,4340,31/01/2022,2,11.2
346,1,4259,31/01/2022,2,24
347,1,4544,31/01/2022,5,111.2
348,1,430,01/02/2022,1,103.2
349,1,4853,01/02/2022,5,66.4
350,1,3532,01/02/2022,5,63.2
351,1,722,01/02/2022,12,202.4
352,1,5058,02/02/2022,4,172.8
353,1,3471,02/02/2022,7,188.8
354,1,3034,03/02/2022,5,156
355,1,2198,04/02/2022,2,56
356,1,3451,04/02/2022,1,23.2
357,1,309,04/02/2022,4,36.8
358,1,7805,04/02/2022,1,63.2
359,1,5083,04/02/2022,4,217.6
360,1,5136,04/02/2022,1,15.2
361,1,7865,04/02/2022,1,63.2
362,1,7880,04/02/2022,2,54.4
363,1,1087,25/01/2022,0,0
364,1,3769,25/01/2022,1,7.2
365,1,3990,25/01/2022,7,255.2
366,1,2552,26/01/2022,1,12
367,1,5830,27/01/2022,6,171.2
368,1,1341,27/01/2022,4,212.8
369,1,5854,27/01/2022,7,91.2
370,1,2851,27/01/2022,4,84.8
371,1,4918,27/01/2022,9,187.2
372,1,2134,27/01/2022,2,430.4
373,1,4493,28/01/2022,1,8
374,1,875,28/01/2022,2,86.4
375,1,3905,28/01/2022,1,16
376,1,6086,28/01/2022,1,135.2
377,1,4719,28/01/2022,1,23.2
378,1,6154,29/01/2022,2,78.4
379,1,2584,29/01/2022,6,224
380,1,3896,29/01/2022,6,111.2
381,1,6236,29/01/2022,12,596.8
382,1,3196,29/01/2022,3,64
383,1,3882,29/01/2022,2,131.2
384,1,2098,29/01/2022,5,320.8
385,1,3958,29/01/2022,3,53.6
386,1,6376,29/01/2022,4,129.6
387,1,5068,29/01/2022,6,89.6
388,1,6327,29/01/2022,5,75.2
389,1,6415,29/01/2022,1,23.2
390,1,6337,30/01/2022,1,31.2
391,1,3823,30/01/2022,1,47.2
392,1,1968,30/01/2022,4,118.4
393,1,4255,30/01/2022,2,54.4
394,1,4730,30/01/2022,2,28
395,1,5316,30/01/2022,2,32.8
396,1,2115,30/01/2022,4,94.4
397,1,4028,30/01/2022,27,212
398,1,5510,30/01/2022,2,70.4
399,1,6652,30/01/2022,4,78.4
400,1,2387,30/01/2022,9,303.2
401,1,5522,30/01/2022,2,62.4
402,1,3656,31/01/2022,1,4
403,1,6829,31/01/2022,4,124.8
404,1,3629,31/01/2022,3,45.6
405,1,2585,31/01/2022,2,22.4
406,1,4796,31/01/2022,1,31.2
407,1,4402,31/01/2022,1,52
408,1,6951,31/01/2022,5,62.4
409,1,5404,01/02/2022,2,36.8
410,1,6297,01/02/2022,9,365.6
411,1,2617,01/02/2022,4,63.2
412,1,7091,01/02/2022,1,52
413,1,7124,01/02/2022,3,49.6
414,1,4765,01/02/2022,14,350.4
415,1,1532,01/02/2022,20,454.4
416,1,3748,02/02/2022,7,180
417,1,2693,02/02/2022,8,278.4
418,1,1088,02/02/2022,4,34.4
419,1,7486,02/02/2022,1,12
420,1,7489,02/02/2022,6,145.6
421,1,7515,02/02/2022,13,601.6
422,1,4400,03/02/2022,2,38.4
423,1,2322,03/02/2022,4,99.2
424,1,7630,03/02/2022,1,79.2
425,1,7685,03/02/2022,1,7.2
426,1,2267,03/02/2022,4,92.8
427,1,3329,03/02/2022,1,2.4
428,1,7782,04/02/2022,2,179.2
429,1,7583,04/02/2022,1,31.2
430,1,3688,04/02/2022,5,180
431,1,7813,04/02/2022,12,427.2
432,1,7829,04/02/2022,3,95.2
433,1,7652,04/02/2022,4,137.6
434,1,4786,04/02/2022,3,106.4
435,1,425,04/02/2022,3,34.4
436,1,4420,25/01/2022,5,96.8
437,1,106,25/01/2022,1,47.2
438,1,2176,26/01/2022,2,56
439,1,5735,26/01/2022,6,141.6
440,1,4046,26/01/2022,2,56
441,1,5745,26/01/2022,2,35.2
442,1,4546,26/01/2022,8,88
443,1,2473,27/01/2022,2,64
444,1,1849,28/01/2022,8,105.6
445,1,1579,28/01/2022,1,12
446,1,3656,28/01/2022,1,36
447,1,2183,28/01/2022,0,0
448,1,2768,28/01/2022,7,224
449,1,3656,28/01/2022,4,33.6
450,1,5276,28/01/2022,7,136.8
451,1,6135,29/01/2022,3,122.4
452,1,2464,29/01/2022,1,20
453,1,4825,29/01/2022,2,19.2
454,1,3323,29/01/2022,1,23.2
455,1,5177,29/01/2022,16,484
456,1,1116,29/01/2022,1,15.2
457,1,6335,29/01/2022,4,105.6
458,1,2705,29/01/2022,11,218.4
459,1,6359,29/01/2022,1,23.2
460,1,4277,29/01/2022,9,178.4
461,1,4426,29/01/2022,3,112
462,1,2118,30/01/2022,1,20
463,1,432,30/01/2022,10,259.2
464,1,1368,30/01/2022,4,140.8
465,1,6486,30/01/2022,1,23.2
466,1,3168,30/01/2022,2,30.4
467,1,1295,30/01/2022,2,19.2
468,1,4297,30/01/2022,3,98.4
469,1,526,30/01/2022,2,78.4
470,1,2672,30/01/2022,1,31.2
471,1,6623,30/01/2022,3,26.4
472,1,34,30/01/2022,1,15.2
473,1,6675,30/01/2022,1,12
474,1,5139,30/01/2022,3,40
475,1,1789,31/01/2022,1,23.2
476,1,6489,01/02/2022,2,62.4
477,1,7007,01/02/2022,6,108.8
478,1,508,01/02/2022,2,94.4
479,1,3127,01/02/2022,2,70.4
480,1,7169,01/02/2022,12,644
481,1,7180,01/02/2022,3,77.6
482,1,24,01/02/2022,3,152
483,1,3958,01/02/2022,1,47.2
484,1,4534,02/02/2022,3,170.4
485,1,7487,02/02/2022,5,156
486,1,7535,03/02/2022,6,395.2
487,1,4421,03/02/2022,8,195.2
488,1,7547,03/02/2022,1,79.2
489,1,7600,03/02/2022,4,185.6
490,1,3656,03/02/2022,1,20
491,1,5069,03/02/2022,2,8
492,1,2118,03/02/2022,1,2.4
493,1,4271,03/02/2022,1,119.2
494,1,2727,04/02/2022,4,180.8
495,1,4426,04/02/2022,1,4
496,1,7730,04/02/2022,7,204
497,1,7775,04/02/2022,8,202.4
498,1,2395,04/02/2022,4,182.4
499,1,5292,04/02/2022,1,31.2
500,1,5136,04/02/2022,1,9.6
501,1,3997,25/01/2022,5,60
502,1,3656,26/01/2022,1,31.2
503,1,4866,26/01/2022,11,440.8
504,1,3656,26/01/2022,2,43.2
505,1,2946,27/01/2022,4,118.4
506,1,5822,27/01/2022,9,541.6
507,1,4172,27/01/2022,1,20
508,1,5848,27/01/2022,1,71.2
509,1,2531,27/01/2022,7,79.2
510,1,2475,27/01/2022,1,20
511,1,2598,28/01/2022,2,11.2
512,1,5970,28/01/2022,1,31.2
513,1,3237,28/01/2022,3,58.4
514,1,6100,28/01/2022,1,4
515,1,4426,28/01/2022,3,95.2
516,1,6113,29/01/2022,2,38.4
517,1,5185,29/01/2022,3,165.6
518,1,2692,29/01/2022,1,159.2
519,1,3596,29/01/2022,1,43.2
520,1,6354,29/01/2022,2,12
521,1,6341,29/01/2022,1,7.2
522,1,1909,29/01/2022,3,117.6
523,1,3217,29/01/2022,1,71.2
524,1,1877,30/01/2022,2,32.8
525,1,6626,30/01/2022,1,47.2
526,1,6529,30/01/2022,2,43.2
527,1,496,30/01/2022,1,63.2
528,1,6670,30/01/2022,10,292.8
529,1,6700,30/01/2022,3,66.4
530,1,6752,30/01/2022,11,312.8
531,1,3958,31/01/2022,2,158.4
532,1,980,31/01/2022,18,337.6
533,1,4925,31/01/2022,4,97.6
534,1,6948,31/01/2022,8,144
535,1,6972,31/01/2022,2,46.4
536,1,2659,31/01/2022,5,173.6
537,1,142,31/01/2022,8,236.8
538,1,2071,01/02/2022,1,12
539,1,7015,01/02/2022,5,66.4
540,1,664,01/02/2022,5,120.8
541,1,7277,02/02/2022,1,55.2
542,1,422,02/02/2022,3,42.4
543,1,2959,02/02/2022,1,111.2
544,1,4007,02/02/2022,1,12
545,1,1883,02/02/2022,1,20
546,1,691,02/02/2022,3,36
547,1,7477,02/02/2022,6,172
548,1,308,03/02/2022,5,210.4
549,1,3144,03/02/2022,3,278.4
550,1,3714,03/02/2022,4,140.8
551,1,1629,03/02/2022,1,23.2
552,1,917,03/02/2022,5,71.2
553,1,4204,03/02/2022,3,58.4
554,1,7796,04/02/2022,1,9.6
555,1,5151,04/02/2022,2,20
556,1,7817,04/02/2022,3,197.6
557,1,3608,04/02/2022,4,86.4
558,1,4676,04/02/2022,4,19.2
559,1,4275,25/01/2022,0,-136
560,1,5586,25/01/2022,1,36
561,1,127,25/01/2022,3,109.6
562,1,4648,25/01/2022,1,4
563,1,1751,25/01/2022,7,175.2
564,1,1047,25/01/2022,13,280.8
565,1,3656,26/01/2022,1,47.2
566,1,677,26/01/2022,6,91.2
567,1,5365,26/01/2022,9,212.8
568,1,3340,27/01/2022,12,136.8
569,1,2418,27/01/2022,1,12
570,1,5855,27/01/2022,2,334.4
571,1,5873,27/01/2022,3,33.6
572,1,5914,27/01/2022,2,126.4
573,1,1288,27/01/2022,1,15.2
574,1,5948,27/01/2022,1,20
575,1,1744,27/01/2022,5,36
576,1,6001,28/01/2022,9,304
577,1,5395,28/01/2022,2,166.4
578,1,6034,28/01/2022,5,124
579,1,6132,29/01/2022,3,69.6
580,1,4375,29/01/2022,18,320
581,1,5213,29/01/2022,1,367.2
582,1,6219,29/01/2022,1,15.2
583,1,6265,29/01/2022,12,208.8
584,1,3958,29/01/2022,3,138.4
585,1,6380,29/01/2022,2,69.6
586,1,227,29/01/2022,1,12
587,1,6409,29/01/2022,9,117.6
588,1,2065,29/01/2022,2,147.2
589,1,4090,30/01/2022,5,360.8
590,1,3958,30/01/2022,8,102.4
591,1,2502,30/01/2022,1,119.2
592,1,6534,30/01/2022,6,168
593,1,188,30/01/2022,6,123.2
594,1,6568,30/01/2022,-1,-4
595,1,3013,30/01/2022,7,128
596,1,6825,31/01/2022,3,80
597,1,3403,31/01/2022,9,255.2
598,1,6862,31/01/2022,5,162.4
599,1,1411,31/01/2022,1,103.2
600,1,2040,31/01/2022,3,103.2
601,1,2012,31/01/2022,8,248.8
602,1,3652,31/01/2022,1,47.2
603,1,2790,31/01/2022,6,124.8
604,1,6994,31/01/2022,4,183.2
605,1,7000,31/01/2022,5,58.4
606,1,1638,31/01/2022,1,983.2
607,1,7052,01/02/2022,7,96.8
608,1,7178,01/02/2022,5,128
609,1,2647,01/02/2022,1,47.2
610,1,7269,02/02/2022,2,59.2
611,1,4612,02/02/2022,1,15.2
612,1,2614,03/02/2022,3,69.6
613,1,7534,03/02/2022,15,246.4
614,1,4327,03/02/2022,3,125.6
615,1,7606,03/02/2022,4,220.8
616,1,7653,03/02/2022,4,84.8
617,1,3678,03/02/2022,4,62.4
618,1,7703,03/02/2022,1,31.2
619,1,3227,04/02/2022,7,244.8
620,1,4426,04/02/2022,1,44
621,1,5548,25/01/2022,2,30.4
622,1,4417,25/01/2022,1,31.2
623,1,4751,26/01/2022,1,39.2
624,1,4597,26/01/2022,2,64.8
625,1,3217,26/01/2022,1,63.2
626,1,5838,27/01/2022,2,39.2
627,1,1898,27/01/2022,7,202.4
628,1,5443,27/01/2022,6,104
629,1,784,27/01/2022,11,350.4
630,1,5310,28/01/2022,10,144.8
631,1,1715,28/01/2022,7,234.4
632,1,6120,29/01/2022,4,92.8
633,1,6139,29/01/2022,6,192
634,1,2965,29/01/2022,2,67.2
635,1,712,29/01/2022,4,105.6
636,1,6228,29/01/2022,3,405.6
637,1,6286,29/01/2022,8,120
638,1,4180,29/01/2022,7,117.6
639,1,3958,29/01/2022,1,31.2
640,1,2337,29/01/2022,6,-116
641,1,5061,30/01/2022,5,142.4
642,1,6476,30/01/2022,12,288
643,1,1917,30/01/2022,13,233.6
644,1,2499,30/01/2022,1,55.2
645,1,4410,30/01/2022,2,94.4
646,1,331,30/01/2022,2,38.4
647,1,4434,30/01/2022,9,249.6
648,1,3832,31/01/2022,7,106.4
649,1,4300,31/01/2022,1,4
650,1,6794,31/01/2022,6,128
651,1,2468,31/01/2022,8,103.2
652,1,759,31/01/2022,2,43.2
653,1,1952,31/01/2022,14,338.4
654,1,2930,31/01/2022,4,32.8
655,1,4405,31/01/2022,25,493.6
656,1,3386,01/02/2022,3,82.4
657,1,319,01/02/2022,2,27.2
658,1,286,02/02/2022,5,213.6
659,1,4426,02/02/2022,1,55.2
660,1,4426,02/02/2022,4,97.6
661,1,7559,03/02/2022,2,24.8
662,1,740,03/02/2022,1,9.6
663,1,7663,03/02/2022,5,104.8
664,1,1970,03/02/2022,4,126.4
665,1,1316,03/02/2022,0,24
666,1,2132,04/02/2022,0,0
667,1,3958,04/02/2022,2,67.2
668,1,1725,04/02/2022,4,84.8
669,1,4058,04/02/2022,7,133.6
670,1,3217,04/02/2022,19,636
671,1,771,04/02/2022,3,87.2
672,1,4413,04/02/2022,8,184
673,1,7858,04/02/2022,1,47.2
674,1,5121,04/02/2022,2,46.4
675,1,7879,04/02/2022,4,56
676,1,4381,25/01/2022,1,111.2
677,1,1550,25/01/2022,1,47.2
678,1,5609,25/01/2022,8,96
679,1,5678,26/01/2022,1,36
680,1,5691,26/01/2022,4,70.4
681,1,5297,26/01/2022,5,50.4
682,1,5020,26/01/2022,4,129.6
683,1,1958,27/01/2022,6,242.4
684,1,4729,27/01/2022,1,31.2
685,1,130,27/01/2022,2,17.6
686,1,5936,27/01/2022,2,32.8
687,1,5036,28/01/2022,1,23.2
688,1,3656,28/01/2022,3,63.2
689,1,6076,28/01/2022,2,24.8
690,1,5688,28/01/2022,2,40
691,1,5340,29/01/2022,15,402.4
692,1,6202,29/01/2022,2,62.4
693,1,1625,29/01/2022,7,228
694,1,5241,29/01/2022,1,20
695,1,6266,29/01/2022,17,724
696,1,6414,29/01/2022,9,262.4
697,1,2145,30/01/2022,8,166.4
698,1,6573,30/01/2022,6,127.2
699,1,3145,30/01/2022,2,387.2
700,1,6118,31/01/2022,3,55.2
701,1,1700,31/01/2022,4,85.6
702,1,6827,31/01/2022,2,350.4
703,1,4814,31/01/2022,0,0
704,1,2484,31/01/2022,2,46.4
705,1,3958,31/01/2022,1,44
706,1,1218,01/02/2022,2,46.4
707,1,1908,01/02/2022,6,182.4
708,1,5081,01/02/2022,8,276.8
709,1,4940,01/02/2022,2,56
710,1,7284,02/02/2022,8,203.2
711,1,2161,02/02/2022,2,166.4
712,1,1499,02/02/2022,0,0
713,1,5322,02/02/2022,4,58.4
714,1,5034,03/02/2022,1,12
715,1,744,03/02/2022,8,491.2
716,1,7549,03/02/2022,3,85.6
